ORDEN,SKU,MARKETING,ACTUALIZACIONES,ACTUALIZADO,VENTAS_ACUMULADAS,PRICE,LANZAMIENTO,CANTIDAD,PRECIO_MIN,SD_PRECIO,VENTA_ALTA
17449,50458,D,8,1,69105,100.5,2006,91,73.99,34.7,1
83399,2103466,S,2,1,356159,39.95,2014,13,0.0,38.58,0
77758,137189,S,4,1,622606,71.0,2005,13,0.0,0.0,0
71265,622955,S,4,1,86510,97.0,2013,43,33.24,33.98,0
70705,315451,S,11,1,597536,106.67,1999,53,93.5,13.98,1
53779,2614865,S,2,1,2145426,109.0,2004,17,46.32,119.99,0
48839,2071579,S,0,0,870864,39.95,2013,18,28.33,29.16,0
74815,222279,S,5,1,470861,80.0,2010,22,0.0,0.0,0
17495,51691,D,3,1,90314,72.92,2010,70,135.63,56.05,0
83708,1574681,S,6,1,1607025,0.0,2009,12,15.93,21.87,0
73591,528018,S,2,1,682664,75.0,2008,26,38.97,58.99,0
71511,111100,S,14,1,274977,114.75,2011,35,22.54,77.48,0
30468,248032,D,5,1,959424,99.95,2008,85,85.77,12.5,0
38504,1454015,S,0,0,1572243,31.25,2007,44,6.87,11.53,0
60879,532656,S,2,1,901602,269.99,2006,20,5.3,28.97,0
75848,57018,S,7,1,202638,116.4,2001,117,76.18,11.99,1
82032,906715,S,2,1,478876,41.95,2014,28,23.98,32.5,0
70672,264896,S,2,1,1435810,132.95,2003,18,19.4,30.19,0
35407,3053561,D,0,0,2338242,125.0,2002,13,0.0,13.98,0
11889,61204,D,3,1,1783456,18.82,2007,61,103.51,18.97,1
33666,614078,D,10,1,45611,94.5,2013,55,48.24,68.2,0
9319,2559583,D,4,1,2491778,0.0,1980,16,38.85,95.23,0
1980,833378,D,0,0,2838503,112.95,2002,33,44.54,7.46,0
27671,162695,D,3,1,261115,110.0,2009,43,56.1,118.95,0
85093,617572,S,2,1,824736,49.99,2011,26,23.13,60.98,0
75295,198153,S,1,0,384296,98.95,2013,16,79.99,602.99,0
10205,163400,D,3,1,3965244,78.95,2007,16,68.99,52.23,0
69201,55134,S,7,1,2000565,103.7,2003,65,74.76,9.99,0
33460,205530,D,1,0,715153,42.95,1996,34,27.92,18.97,0
4271,2438601,D,3,1,285951,0.0,2002,25,0.0,200.01,0
82568,2404169,S,1,0,1421471,65.95,1987,60,0.0,46.01,0
10356,764405,D,3,1,3295042,209.95,2005,15,88.1,67.9,0
49762,113578,S,6,1,2574108,154.67,2002,48,6.98,21.98,0
83431,261432,S,3,1,715353,110.0,2006,51,24.16,56.49,0
34235,109093,D,3,1,3487165,7.53,2005,26,58.64,4.17,0
82887,627472,S,0,0,301131,43.95,2009,27,16.28,22.78,0
26174,107297,D,3,1,2611056,0.0,1999,15,147.99,33.99,0
27272,121252,D,5,1,216504,115.0,2010,38,92.49,36.69,0
26646,200348,D,7,1,558771,61.95,2007,37,49.84,29.98,0
14261,2398096,D,0,0,2884741,70.95,1989,20,134.66,44.97,0
50231,717728,S,3,1,2994407,86.95,2001,30,6.18,12.68,0
33208,635382,D,0,0,230793,53.95,2001,71,49.09,38.26,0
45068,665277,S,3,1,150810,79.95,2012,62,38.99,53.06,0
82849,639988,S,2,1,279478,55.95,2011,43,26.32,32.44,0
54042,556133,S,0,0,136172,112.95,2006,59,63.92,33.45,0
15246,104708,D,16,1,1148385,85.75,1998,40,73.4,43.98,1
9648,585676,D,2,1,965667,84.95,1984,81,51.99,44.47,0
34141,632071,D,1,0,392801,46.0,2012,19,56.38,46.12,0
68628,165067,S,3,1,651240,75.0,2000,49,19.46,40.11,0
602,54904,D,10,1,129112,25.0,2007,337,91.23,6.88,1
55563,2405976,S,3,1,8063326,19.95,1991,24,28.99,11.98,0
